year,month,borough,collision_count,min_collision_count,max_collision_count,injured_count,min_injured_count,max_injured_count,killed_count,min_killed_count,max_killed_count
2012,1,Bronx,1805,1,11,467,0,7,1,0,1
2012,2,Bronx,1728,1,14,453,0,7,2,0,1
2012,3,Bronx,1974,1,12,607,0,10,3,0,1
2012,4,Bronx,1982,1,10,604,0,10,3,0,1
2012,5,Bronx,2048,1,11,561,0,11,1,0,1
2012,6,Bronx,2064,1,14,577,0,12,3,0,1
2012,7,Bronx,1865,1,12,602,0,15,4,0,1
2012,8,Bronx,1880,1,11,504,0,9,7,0,1
2012,9,Bronx,1766,1,10,517,0,11,2,0,1
2012,10,Bronx,1910,1,15,499,0,5,3,0,1
2012,11,Bronx,1671,1,12,464,0,10,0,0,0
2012,12,Bronx,1803,1,8,542,0,7,2,0,1
2013,1,Bronx,1713,1,11,454,0,9,3,0,1
2013,2,Bronx,1743,1,15,495,0,8,1,0,1
2013,3,Bronx,1940,1,8,511,0,13,4,0,1
2013,4,Bronx,1823,1,9,513,0,7,2,0,2
2013,5,Bronx,2077,1,13,569,0,8,2,0,1
2013,6,Bronx,1985,1,9,594,0,7,4,0,1
2013,7,Bronx,2026,1,11,644,0,8,2,0,1
2013,8,Bronx,1889,1,15,552,0,8,3,0,1
2013,9,Bronx,1974,1,10,631,0,6,2,0,1
2013,10,Bronx,1872,1,8,562,0,13,4,0,1
2013,11,Bronx,1920,1,19,575,0,15,5,0,1
2013,12,Bronx,1931,1,13,498,0,14,3,0,1
2014,1,Bronx,1910,1,10,503,0,6,1,0,1
2014,2,Bronx,1978,1,8,363,0,5,0,0,0
2014,3,Bronx,1835,1,1,522,0,13,2,0,1
2014,4,Bronx,1786,1,1,479,0,6,2,0,1
2014,5,Bronx,1946,1,1,663,0,17,1,0,1
2014,6,Bronx,2014,1,1,751,0,13,2,0,1
2014,7,Bronx,1842,1,1,621,0,13,1,0,1
2014,8,Bronx,1809,1,1,536,0,7,1,0,1
2014,9,Bronx,1928,1,1,623,0,8,5,0,1
2014,10,Bronx,1912,1,1,612,0,9,3,0,1
2014,11,Bronx,1786,1,1,551,0,7,2,0,1
2014,12,Bronx,1937,1,1,524,0,14,1,0,1
2015,1,Bronx,1937,1,1,452,0,6,3,0,1
2015,2,Bronx,1829,1,1,350,0,4,2,0,1
2015,3,Bronx,2080,1,1,448,0,7,2,0,2
2015,4,Bronx,1856,1,1,491,0,10,3,0,1
2015,5,Bronx,2050,1,1,582,0,9,4,0,1
2015,6,Bronx,2151,1,1,599,0,10,3,0,1
2015,7,Bronx,2080,1,1,582,0,7,1,0,1
2015,8,Bronx,2140,1,1,643,0,12,1,0,1
2015,9,Bronx,2012,1,1,617,0,8,5,0,1
2015,10,Bronx,2192,1,1,659,0,8,8,0,3
2015,11,Bronx,2029,1,1,555,0,6,1,0,1
2015,12,Bronx,2179,1,1,578,0,6,2,0,1
2016,1,Bronx,2109,1,1,452,0,6,4,0,1
2016,2,Bronx,2007,1,1,530,0,7,2,0,1
2016,3,Bronx,1850,1,1,534,0,7,3,0,1
2016,4,Bronx,1777,1,1,578,0,7,2,0,1
2016,5,Bronx,1887,1,1,621,0,12,2,0,1
2016,6,Bronx,1580,1,1,516,0,8,2,0,1
2016,7,Bronx,1568,1,1,549,0,9,2,0,1
2016,8,Bronx,1433,1,1,516,0,11,3,0,1
2016,9,Bronx,1375,1,1,487,0,9,0,0,0
2016,10,Bronx,1448,1,1,487,0,9,3,0,1
2012,1,Brooklyn,3963,1,16,1151,0,10,7,0,1
2012,2,Brooklyn,3613,1,18,976,0,10,3,0,1
2012,3,Brooklyn,4108,1,12,1215,0,13,4,0,1
2012,4,Brooklyn,4095,1,13,1230,0,9,6,0,1
2012,5,Brooklyn,4433,1,15,1302,0,11,9,0,1
2012,6,Brooklyn,4452,1,12,1279,0,11,4,0,1
2012,7,Brooklyn,4101,1,19,1280,0,11,4,0,1
2012,8,Brooklyn,4198,1,19,1226,0,11,6,0,1
2012,9,Brooklyn,4050,1,19,1264,0,10,6,0,1
2012,10,Brooklyn,4123,1,13,1223,0,12,3,0,1
2012,11,Brooklyn,4018,1,19,990,0,11,5,0,1
2012,12,Brooklyn,4314,1,13,1243,0,12,5,0,2
2013,1,Brooklyn,3868,1,11,1077,0,9,8,0,3
2013,2,Brooklyn,3573,1,13,901,0,11,3,0,1
2013,3,Brooklyn,3937,1,13,1073,0,11,8,0,3
2013,4,Brooklyn,4087,1,17,1225,0,16,6,0,1
2013,5,Brooklyn,4526,1,14,1352,0,12,3,0,1
2013,6,Brooklyn,4548,1,14,1390,0,11,5,0,1
2013,7,Brooklyn,4293,1,16,1409,0,25,6,0,1
2013,8,Brooklyn,4152,1,21,1368,0,8,9,0,1
2013,9,Brooklyn,4080,1,15,1354,0,43,4,0,1
2013,10,Brooklyn,4313,1,19,1313,0,10,8,0,1
2013,11,Brooklyn,4330,1,18,1260,0,10,4,0,1
2013,12,Brooklyn,4300,1,14,1165,0,8,5,0,1
2014,1,Brooklyn,4172,1,13,1003,0,8,4,0,1
2014,2,Brooklyn,3822,1,13,772,0,11,5,0,1
2014,3,Brooklyn,3941,1,1,1154,0,9,7,0,1
2014,4,Brooklyn,4012,1,1,1215,0,9,7,0,1
2014,5,Brooklyn,4449,1,1,1252,0,8,11,0,2
2014,6,Brooklyn,4512,1,1,1494,0,10,5,0,1
2014,7,Brooklyn,4342,1,1,1334,0,6,8,0,1
2014,8,Brooklyn,4173,1,1,1334,0,9,4,0,1
2014,9,Brooklyn,4461,1,1,1394,0,11,4,0,1
2014,10,Brooklyn,4512,1,1,1419,0,15,4,0,1
2014,11,Brooklyn,4196,1,1,1226,0,11,7,0,1
2014,12,Brooklyn,4336,1,1,1243,0,10,5,0,1
2015,1,Brooklyn,4089,1,1,1000,0,24,2,0,1
2015,2,Brooklyn,4128,1,1,856,0,7,5,0,1
2015,3,Brooklyn,4665,1,1,1019,0,10,3,0,1
2015,4,Brooklyn,4158,1,1,1129,0,7,4,0,1
2015,5,Brooklyn,4822,1,1,1380,0,10,9,0,1
2015,6,Brooklyn,4887,1,1,1373,0,6,6,0,1
2015,7,Brooklyn,4710,1,1,1389,0,9,5,0,1
2015,8,Brooklyn,4739,1,1,1350,0,19,7,0,1
2015,9,Brooklyn,4691,1,1,1353,0,8,3,0,1
2015,10,Brooklyn,5037,1,1,1342,0,9,6,0,1
2015,11,Brooklyn,4612,1,1,1340,0,10,11,0,1
2015,12,Brooklyn,4698,1,1,1298,0,10,8,0,1
2016,1,Brooklyn,4682,1,1,1085,0,9,3,0,1
2016,2,Brooklyn,4249,1,1,1047,0,6,4,0,1
2016,3,Brooklyn,4022,1,1,1179,0,9,0,0,0
2016,4,Brooklyn,3637,1,1,1238,0,8,3,0,1
2016,5,Brooklyn,3857,1,1,1237,0,15,4,0,2
2016,6,Brooklyn,3282,1,1,1102,0,8,4,0,1
2016,7,Brooklyn,2883,1,1,1079,0,7,0,0,0
2016,8,Brooklyn,2600,1,1,903,0,7,3,0,2
2016,9,Brooklyn,2674,1,1,937,0,6,1,0,1
2016,10,Brooklyn,2743,1,1,844,0,9,0,0,0
2012,1,Manhattan,3076,1,13,543,0,8,2,0,1
2012,2,Manhattan,2980,1,14,541,0,7,2,0,1
2012,3,Manhattan,3279,1,11,602,0,7,1,0,1
2012,4,Manhattan,3394,1,13,615,0,9,4,0,1
2012,5,Manhattan,3843,1,14,625,0,6,6,0,1
2012,6,Manhattan,3850,1,13,599,0,6,1,0,1
2012,7,Manhattan,3702,1,13,649,0,7,3,0,1
2012,8,Manhattan,3621,1,14,619,0,8,3,0,1
2012,9,Manhattan,3583,1,12,664,0,12,6,0,1
2012,10,Manhattan,3561,1,16,585,0,11,2,0,1
2012,11,Manhattan,3104,1,14,553,0,14,3,0,1
2012,12,Manhattan,3453,1,12,566,0,6,2,0,1
2013,1,Manhattan,3081,1,11,502,0,8,4,0,1
2013,2,Manhattan,2916,1,10,499,0,11,5,0,1
2013,3,Manhattan,3343,1,22,540,0,9,2,0,1
2013,4,Manhattan,3435,1,11,580,0,6,2,0,1
