year,month,borough,collision_count,collision_percent_change,killed_count,killed_percent_change,injured_count,injured_percent_change
2012,1,Bronx,1805,,1,,467,
2012,2,Bronx,1728,-4.27,2,100.0,453,-3.0
2012,3,Bronx,1974,14.24,3,50.0,607,34.0
2012,4,Bronx,1982,0.41,3,0.0,604,-0.49
2012,5,Bronx,2048,3.33,1,-66.67,561,-7.12
2012,6,Bronx,2064,0.78,3,200.0,577,2.85
2012,7,Bronx,1865,-9.64,4,33.33,602,4.33
2012,8,Bronx,1880,0.8,7,75.0,504,-16.28
2012,9,Bronx,1766,-6.06,2,-71.43,517,2.58
2012,10,Bronx,1910,8.15,3,50.0,499,-3.48
2012,11,Bronx,1671,-12.51,0,-100.0,464,-7.01
2012,12,Bronx,1803,7.9,2,inf,542,16.81
2013,1,Bronx,1713,-4.99,3,50.0,454,-16.24
2013,2,Bronx,1743,1.75,1,-66.67,495,9.03
2013,3,Bronx,1940,11.3,4,300.0,511,3.23
2013,4,Bronx,1823,-6.03,2,-50.0,513,0.39
2013,5,Bronx,2077,13.93,2,0.0,569,10.92
2013,6,Bronx,1985,-4.43,4,100.0,594,4.39
2013,7,Bronx,2026,2.07,2,-50.0,644,8.42
2013,8,Bronx,1889,-6.76,3,50.0,552,-14.29
2013,9,Bronx,1974,4.5,2,-33.33,631,14.31
2013,10,Bronx,1872,-5.17,4,100.0,562,-10.94
2013,11,Bronx,1920,2.56,5,25.0,575,2.31
2013,12,Bronx,1931,0.57,3,-40.0,498,-13.39
2014,1,Bronx,1910,-1.09,1,-66.67,503,1.0
2014,2,Bronx,1978,3.56,0,-100.0,363,-27.83
2014,3,Bronx,1835,-7.23,2,inf,522,43.8
2014,4,Bronx,1786,-2.67,2,0.0,479,-8.24
2014,5,Bronx,1946,8.96,1,-50.0,663,38.41
2014,6,Bronx,2014,3.49,2,100.0,751,13.27
2014,7,Bronx,1842,-8.54,1,-50.0,621,-17.31
2014,8,Bronx,1809,-1.79,1,0.0,536,-13.69
2014,9,Bronx,1928,6.58,5,400.0,623,16.23
2014,10,Bronx,1912,-0.83,3,-40.0,612,-1.77
2014,11,Bronx,1786,-6.59,2,-33.33,551,-9.97
2014,12,Bronx,1937,8.45,1,-50.0,524,-4.9
2015,1,Bronx,1937,0.0,3,200.0,452,-13.74
2015,2,Bronx,1829,-5.58,2,-33.33,350,-22.57
2015,3,Bronx,2080,13.72,2,0.0,448,28.0
2015,4,Bronx,1856,-10.77,3,50.0,491,9.6
2015,5,Bronx,2050,10.45,4,33.33,582,18.53
2015,6,Bronx,2151,4.93,3,-25.0,599,2.92
2015,7,Bronx,2080,-3.3,1,-66.67,582,-2.84
2015,8,Bronx,2140,2.88,1,0.0,643,10.48
2015,9,Bronx,2012,-5.98,5,400.0,617,-4.04
2015,10,Bronx,2192,8.95,8,60.0,659,6.81
2015,11,Bronx,2029,-7.44,1,-87.5,555,-15.78
2015,12,Bronx,2179,7.39,2,100.0,578,4.14
2016,1,Bronx,2109,-3.21,4,100.0,452,-21.8
2016,2,Bronx,2007,-4.84,2,-50.0,530,17.26
2016,3,Bronx,1850,-7.82,3,50.0,534,0.75
2016,4,Bronx,1777,-3.95,2,-33.33,578,8.24
2016,5,Bronx,1887,6.19,2,0.0,621,7.44
2016,6,Bronx,1580,-16.27,2,0.0,516,-16.91
2016,7,Bronx,1568,-0.76,2,0.0,549,6.4
2016,8,Bronx,1433,-8.61,3,50.0,516,-6.01
2016,9,Bronx,1375,-4.05,0,-100.0,487,-5.62
2016,10,Bronx,1448,5.31,3,inf,487,0.0
2012,1,Brooklyn,3963,,7,,1151,
2012,2,Brooklyn,3613,-8.83,3,-57.14,976,-15.2
2012,3,Brooklyn,4108,13.7,4,33.33,1215,24.49
2012,4,Brooklyn,4095,-0.32,6,50.0,1230,1.23
2012,5,Brooklyn,4433,8.25,9,50.0,1302,5.85
2012,6,Brooklyn,4452,0.43,4,-55.56,1279,-1.77
2012,7,Brooklyn,4101,-7.88,4,0.0,1280,0.08
2012,8,Brooklyn,4198,2.37,6,50.0,1226,-4.22
2012,9,Brooklyn,4050,-3.53,6,0.0,1264,3.1
2012,10,Brooklyn,4123,1.8,3,-50.0,1223,-3.24
2012,11,Brooklyn,4018,-2.55,5,66.67,990,-19.05
2012,12,Brooklyn,4314,7.37,5,0.0,1243,25.56
2013,1,Brooklyn,3868,-10.34,8,60.0,1077,-13.35
2013,2,Brooklyn,3573,-7.63,3,-62.5,901,-16.34
2013,3,Brooklyn,3937,10.19,8,166.67,1073,19.09
2013,4,Brooklyn,4087,3.81,6,-25.0,1225,14.17
2013,5,Brooklyn,4526,10.74,3,-50.0,1352,10.37
2013,6,Brooklyn,4548,0.49,5,66.67,1390,2.81
2013,7,Brooklyn,4293,-5.61,6,20.0,1409,1.37
2013,8,Brooklyn,4152,-3.28,9,50.0,1368,-2.91
2013,9,Brooklyn,4080,-1.73,4,-55.56,1354,-1.02
2013,10,Brooklyn,4313,5.71,8,100.0,1313,-3.03
2013,11,Brooklyn,4330,0.39,4,-50.0,1260,-4.04
2013,12,Brooklyn,4300,-0.69,5,25.0,1165,-7.54
2014,1,Brooklyn,4172,-2.98,4,-20.0,1003,-13.91
2014,2,Brooklyn,3822,-8.39,5,25.0,772,-23.03
2014,3,Brooklyn,3941,3.11,7,40.0,1154,49.48
2014,4,Brooklyn,4012,1.8,7,0.0,1215,5.29
2014,5,Brooklyn,4449,10.89,11,57.14,1252,3.05
2014,6,Brooklyn,4512,1.42,5,-54.55,1494,19.33
2014,7,Brooklyn,4342,-3.77,8,60.0,1334,-10.71
2014,8,Brooklyn,4173,-3.89,4,-50.0,1334,0.0
2014,9,Brooklyn,4461,6.9,4,0.0,1394,4.5
2014,10,Brooklyn,4512,1.14,4,0.0,1419,1.79
2014,11,Brooklyn,4196,-7.0,7,75.0,1226,-13.6
2014,12,Brooklyn,4336,3.34,5,-28.57,1243,1.39
2015,1,Brooklyn,4089,-5.7,2,-60.0,1000,-19.55
2015,2,Brooklyn,4128,0.95,5,150.0,856,-14.4
2015,3,Brooklyn,4665,13.01,3,-40.0,1019,19.04
2015,4,Brooklyn,4158,-10.87,4,33.33,1129,10.79
2015,5,Brooklyn,4822,15.97,9,125.0,1380,22.23
2015,6,Brooklyn,4887,1.35,6,-33.33,1373,-0.51
2015,7,Brooklyn,4710,-3.62,5,-16.67,1389,1.17
2015,8,Brooklyn,4739,0.62,7,40.0,1350,-2.81
2015,9,Brooklyn,4691,-1.01,3,-57.14,1353,0.22
2015,10,Brooklyn,5037,7.38,6,100.0,1342,-0.81
2015,11,Brooklyn,4612,-8.44,11,83.33,1340,-0.15
2015,12,Brooklyn,4698,1.86,8,-27.27,1298,-3.13
2016,1,Brooklyn,4682,-0.34,3,-62.5,1085,-16.41
2016,2,Brooklyn,4249,-9.25,4,33.33,1047,-3.5
2016,3,Brooklyn,4022,-5.34,0,-100.0,1179,12.61
2016,4,Brooklyn,3637,-9.57,3,inf,1238,5.0
2016,5,Brooklyn,3857,6.05,4,33.33,1237,-0.08
2016,6,Brooklyn,3282,-14.91,4,0.0,1102,-10.91
2016,7,Brooklyn,2883,-12.16,0,-100.0,1079,-2.09
2016,8,Brooklyn,2600,-9.82,3,inf,903,-16.31
2016,9,Brooklyn,2674,2.85,1,-66.67,937,3.77
2016,10,Brooklyn,2743,2.58,0,-100.0,844,-9.93
2012,1,Manhattan,3076,,2,,543,
2012,2,Manhattan,2980,-3.12,2,0.0,541,-0.37
2012,3,Manhattan,3279,10.03,1,-50.0,602,11.28
2012,4,Manhattan,3394,3.51,4,300.0,615,2.16
2012,5,Manhattan,3843,13.23,6,50.0,625,1.63
2012,6,Manhattan,3850,0.18,1,-83.33,599,-4.16
2012,7,Manhattan,3702,-3.84,3,200.0,649,8.35
2012,8,Manhattan,3621,-2.19,3,0.0,619,-4.62
2012,9,Manhattan,3583,-1.05,6,100.0,664,7.27
2012,10,Manhattan,3561,-0.61,2,-66.67,585,-11.9
2012,11,Manhattan,3104,-12.83,3,50.0,553,-5.47
2012,12,Manhattan,3453,11.24,2,-33.33,566,2.35
2013,1,Manhattan,3081,-10.77,4,100.0,502,-11.31
2013,2,Manhattan,2916,-5.36,5,25.0,499,-0.6
2013,3,Manhattan,3343,14.64,2,-60.0,540,8.22
2013,4,Manhattan,3435,2.75,2,0.0,580,7.41
2013,5,Manhattan,3921,14.15,0,-100.0,614,5.86
2013,6,Manhattan,3826,-2.42,3,inf,671,9.28
2013,7,Manhattan,3676,-3.92,3,0.0,660,-1.64
2013,8,Manhattan,3630,-1.25,4,33.33,651,-1.36
2013,9,Manhattan,3657,0.74,0,-100.0,673,3.38
2013,10,Manhattan,3799,3.88,1,inf,627,-6.84
2013,11,Manhattan,3718,-2.13,6,500.0,604,-3.67
2013,12,Manhattan,3549,-4.55,2,-66.67,523,-13.41
2014,1,Manhattan,3199,-9.86,5,150.0,536,2.49
2014,2,Manhattan,2975,-7.0,0,-100.0,452,-15.67
2014,3,Manhattan,3213,8.0,3,inf,524,15.93
2014,4,Manhattan,3485,8.47,2,-33.33,614,17.18
2014,5,Manhattan,3894,11.74,2,0.0,611,-0.49
2014,6,Manhattan,3792,-2.62,1,-50.0,674,10.31
2014,7,Manhattan,3565,-5.99,4,300.0,648,-3.86
2014,8,Manhattan,3548,-0.48,3,-25.0,632,-2.47
2014,9,Manhattan,3615,1.89,5,66.67,530,-16.14
2014,10,Manhattan,3760,4.01,3,-40.0,659,24.34
2014,11,Manhattan,3527,-6.2,3,0.0,556,-15.63
2014,12,Manhattan,3593,1.87,2,-33.33,566,1.8
2015,1,Manhattan,2929,-18.48,2,0.0,426,-24.73
2015,2,Manhattan,3028,3.38,2,0.0,440,3.29
2015,3,Manhattan,3447,13.84,0,-100.0,501,13.86
2015,4,Manhattan,3628,5.25,1,inf,524,4.59
2015,5,Manhattan,3954,8.99,6,500.0,612,16.79
2015,6,Manhattan,3940,-0.35,3,-50.0,618,0.98
2015,7,Manhattan,3973,0.84,1,-66.67,621,0.49
