year,month,borough,collision_count,3mo_collision_count,6mo_collision_count,12mo_collision_count,injured_count,3mo_injured_count,6mo_injured_count,12mo_injured_count,killed_count,3mo_killed_count,6mo_killed_count,12mo_killed_count
2012,1,Bronx,1805,1805.0,1805.0,1805.0,467,467.0,467.0,467.0,1,1.0,1.0,1.0
2012,2,Bronx,1728,1766.5,1766.5,1766.5,453,460.0,460.0,460.0,2,1.5,1.5,1.5
2012,3,Bronx,1974,1835.67,1835.67,1835.67,607,509.0,509.0,509.0,3,2.0,2.0,2.0
2012,4,Bronx,1982,1894.67,1872.25,1872.25,604,554.67,532.75,532.75,3,2.67,2.25,2.25
2012,5,Bronx,2048,2001.33,1907.4,1907.4,561,590.67,538.4,538.4,1,2.33,2.0,2.0
2012,6,Bronx,2064,2031.33,1933.5,1933.5,577,580.67,544.83,544.83,3,2.33,2.17,2.17
2012,7,Bronx,1865,1992.33,1943.5,1923.71,602,580.0,567.33,553.0,4,2.67,2.67,2.43
2012,8,Bronx,1880,1936.33,1968.83,1918.25,504,561.0,575.83,546.88,7,4.67,3.5,3.0
2012,9,Bronx,1766,1837.0,1934.17,1901.33,517,541.0,560.83,543.56,2,4.33,3.33,2.89
2012,10,Bronx,1910,1852.0,1922.17,1902.2,499,506.67,543.33,539.1,3,4.0,3.33,2.9
2012,11,Bronx,1671,1782.33,1859.33,1881.18,464,493.33,527.17,532.27,0,1.67,3.17,2.64
2012,12,Bronx,1803,1794.67,1815.83,1874.67,542,501.67,521.33,533.08,2,1.67,3.0,2.58
2013,1,Bronx,1713,1729.0,1790.5,1867.0,454,486.67,496.67,532.0,3,1.67,2.83,2.75
2013,2,Bronx,1743,1753.0,1767.67,1868.25,495,497.0,495.17,535.5,1,2.0,1.83,2.67
2013,3,Bronx,1940,1798.67,1796.67,1865.42,511,486.67,494.17,527.5,4,2.67,2.17,2.75
2013,4,Bronx,1823,1835.33,1782.17,1852.17,513,506.33,496.5,519.92,2,2.33,2.0,2.67
2013,5,Bronx,2077,1946.67,1849.83,1854.58,569,531.0,514.0,520.58,2,2.67,2.33,2.75
2013,6,Bronx,1985,1961.67,1880.17,1848.0,594,558.67,522.67,522.0,4,2.67,2.67,2.83
2013,7,Bronx,2026,2029.33,1932.33,1861.42,644,602.33,554.33,525.5,2,2.67,2.5,2.67
2013,8,Bronx,1889,1966.67,1956.67,1862.17,552,596.67,563.83,529.5,3,3.0,2.83,2.33
2013,9,Bronx,1974,1963.0,1962.33,1879.5,631,609.0,583.83,539.0,2,2.33,2.5,2.33
2013,10,Bronx,1872,1911.67,1970.5,1876.33,562,581.67,592.0,544.25,4,3.0,2.83,2.42
2013,11,Bronx,1920,1922.0,1944.33,1897.08,575,589.33,593.0,553.5,5,3.67,3.33,2.83
2013,12,Bronx,1931,1907.67,1935.33,1907.75,498,545.0,577.0,549.83,3,4.0,3.17,2.92
2014,1,Bronx,1910,1920.33,1916.0,1924.17,503,525.33,553.5,553.92,1,3.0,3.0,2.75
2014,2,Bronx,1978,1939.67,1930.83,1943.75,363,454.67,522.0,542.92,0,1.33,2.5,2.67
