year,month,trip_count,avg_trip_minutes,min_trip_minutes,max_trip_minutes,avg_trip_miles,min_trip_miles,max_trip_miles,avg_trip_mph,min_trip_mph,max_trip_mph,avg_trip_fare,min_trip_fare,max_trip_fare
2012,11,6062618,18.31,1.65,90.00,5.02,2.00,88.10,16.38,5.00,80.00,18.22,5.00,339.50
2012,12,6405259,18.52,1.67,90.00,5.05,2.00,82.40,16.29,5.00,80.00,18.39,5.00,334.50
2013,1,6316689,17.18,1.50,90.00,4.94,2.00,79.80,16.86,5.00,80.00,17.71,5.00,360.00
2013,2,5984851,17.60,1.65,90.00,4.88,2.00,91.99,16.38,5.00,80.00,17.72,5.00,422.50
2013,3,6926938,17.82,1.58,90.00,5.00,2.00,95.20,16.58,5.00,80.00,18.06,5.00,359.00
2013,4,6625507,18.37,1.53,90.00,5.03,2.00,95.40,16.42,5.00,80.00,18.23,5.00,400.00
2013,5,6720862,18.91,1.50,90.00,5.10,2.00,82.50,16.43,5.00,80.00,18.48,5.00,402.75
2013,6,6470879,19.12,1.52,90.00,5.11,2.00,97.12,16.00,5.00,80.00,18.67,5.00,484.00
2013,7,6168122,18.27,1.62,90.00,5.07,2.00,81.70,16.52,5.00,79.83,18.38,5.00,487.00
2013,8,5959279,18.08,1.93,90.00,5.05,2.00,82.10,16.51,5.00,79.84,18.26,5.00,392.00
2013,9,6430920,19.08,1.67,90.00,5.16,2.00,90.90,16.21,5.00,80.00,18.85,5.00,499.99
2013,10,6802866,19.13,1.65,90.00,5.14,2.00,80.20,16.06,5.00,80.00,18.82,5.00,370.00
2013,11,6479058,18.92,1.57,90.00,5.07,2.00,85.40,16.09,5.00,80.00,18.61,5.00,434.00
2013,12,6339272,19.34,1.63,90.00,5.22,2.00,81.40,16.22,5.00,79.94,19.00,5.00,360.00
2014,1,6152195,18.45,1.67,90.00,5.05,2.00,79.26,16.22,5.00,79.88,18.31,5.00,400.00
2014,2,6015882,19.04,1.80,90.00,4.98,2.00,84.61,15.59,5.00,80.00,18.33,5.00,475.00
2014,3,7356415,18.70,1.60,90.00,5.08,2.00,84.10,16.09,5.00,80.00,18.49,5.00,350.00
2014,4,7042300,19.30,1.52,90.00,5.12,2.00,81.70,15.83,5.00,79.95,18.77,5.00,400.00
2014,5,7385476,20.12,1.82,90.00,5.25,2.00,85.54,15.64,5.00,79.52,19.30,5.00,459.00
2014,6,6905355,19.97,1.65,90.00,5.24,2.00,86.50,15.72,5.00,79.97,19.25,5.00,408.50
2014,7,6546360,19.07,1.52,90.00,5.20,2.00,85.00,16.21,5.00,79.98,18.86,5.00,370.50
2014,8,6517937,19.26,1.53,90.00,5.26,2.00,85.00,16.15,5.00,79.99,19.01,5.00,349.50
2014,9,6598994,20.44,1.82,90.00,5.24,2.00,87.60,15.41,5.00,79.75,19.37,5.00,420.00
2014,10,6973218,20.44,1.65,90.00,5.22,2.00,85.20,15.28,5.00,79.94,19.32,5.00,425.00
2014,11,6411775,20.47,1.65,90.00,5.20,2.00,84.02,15.25,5.00,80.00,19.25,5.00,500.00
2014,12,6246379,20.79,1.65,90.00,5.28,2.00,78.00,15.29,5.00,80.00,19.50,5.00,400.00
2015,1,5956894,18.85,1.68,90.00,5.07,2.00,80.90,15.86,5.00,79.66,18.44,5.00,420.00
2015,2,5848328,20.27,1.50,90.00,5.11,2.00,93.03,15.05,5.00,80.00,18.97,5.00,425.00
2015,3,6433834,20.75,1.73,90.00,5.23,2.00,88.93,15.04,5.00,79.55,19.31,5.00,400.00
2015,4,6415758,20.77,1.75,90.00,5.24,2.00,84.73,15.07,5.00,79.32,19.42,5.00,500.00
2015,5,6661032,21.35,1.77,90.00,5.36,2.00,103.40,15.08,5.00,79.00,19.82,5.00,400.00
2015,6,6063227,21.50,1.57,90.00,5.36,2.00,86.00,14.92,5.00,80.00,19.84,5.00,400.00
2015,7,5794392,20.44,1.65,90.00,5.33,2.00,82.91,15.51,5.00,79.62,19.48,5.00,450.00
2015,8,5706793,20.33,1.72,90.00,5.40,2.00,77.08,15.63,5.00,80.00,19.57,5.00,385.00
2015,9,5572803,21.17,1.72,90.00,5.45,2.00,78.73,15.35,5.00,79.75,19.99,5.00,400.00
2015,10,5984154,21.96,1.68,90.00,5.42,2.00,89.00,14.76,5.00,79.95,20.16,5.00,380.00
2015,11,5487163,21.29,1.62,90.00,5.41,2.00,103.80,15.19,5.00,79.99,19.94,5.00,434.00
2015,12,5477605,21.40,1.67,90.00,5.40,2.00,93.79,15.16,5.00,79.55,19.93,5.00,415.00
2016,1,5120876,20.17,1.72,90.00,5.32,2.00,78.60,15.58,5.00,79.56,19.38,5.00,370.00
2016,2,5331933,20.25,1.58,90.00,5.25,2.00,88.38,15.31,5.00,79.39,19.26,5.00,394.00
2016,3,5877676,20.71,1.98,90.00,5.33,2.00,83.73,15.20,5.00,79.71,19.57,5.00,418.50
2016,4,5723266,21.32,1.68,90.00,5.33,2.00,81.16,14.90,5.00,79.49,19.79,5.00,400.00
2016,5,5756454,22.01,1.88,90.00,5.48,2.00,85.60,14.88,5.00,79.57,20.29,5.00,375.00
2016,6,5366846,22.19,2.00,90.00,5.46,2.00,72.22,14.73,5.00,79.27,20.29,5.00,390.00
