year,month,3mo_trip_minutes,3mo_trip_miles,3mo_trip_mph,3mo_trip_fare,6mo_trip_minutes,6mo_trip_miles,6mo_trip_mph,6mo_trip_fare,12mo_trip_minutes,12mo_trip_miles,12mo_trip_mph,12mo_trip_fare
2012,11,18.31,5.02,16.38,18.22,18.31,5.02,16.38,18.22,18.31,5.02,16.38,18.22
2012,12,18.41,5.03,16.33,18.30,18.41,5.03,16.33,18.30,18.41,5.03,16.33,18.30
2013,1,18.00,5.00,16.51,18.10,18.00,5.00,16.51,18.10,18.00,5.00,16.51,18.10
2013,2,17.76,4.95,16.51,17.94,17.90,4.97,16.47,18.01,17.90,4.97,16.47,18.01
2013,3,17.53,4.94,16.60,17.83,17.88,4.97,16.49,18.02,17.88,4.97,16.49,18.02
2013,4,17.93,4.97,16.46,18.00,17.96,4.98,16.48,18.05,17.96,4.98,16.48,18.05
2013,5,18.36,5.04,16.47,18.25,18.06,5.00,16.49,18.09,18.10,5.00,16.47,18.11
2013,6,18.80,5.08,16.28,18.46,18.16,5.01,16.44,18.14,18.22,5.01,16.41,18.18
2013,7,18.76,5.09,16.31,18.51,18.34,5.03,16.38,18.25,18.23,5.02,16.42,18.20
2013,8,18.49,5.07,16.34,18.43,18.42,5.06,16.41,18.34,18.21,5.02,16.43,18.21
2013,9,18.47,5.09,16.41,18.49,18.63,5.08,16.34,18.47,18.29,5.03,16.41,18.27
2013,10,18.76,5.11,16.26,18.64,18.76,5.10,16.28,18.57,18.36,5.04,16.38,18.31
2013,11,19.04,5.12,16.12,18.76,18.76,5.10,16.23,18.59,18.41,5.05,16.36,18.34
2013,12,19.13,5.14,16.12,18.81,18.80,5.11,16.26,18.65,18.48,5.06,16.35,18.39
2014,1,18.90,5.11,16.17,18.64,18.83,5.11,16.21,18.64,18.59,5.07,16.30,18.44
2014,2,18.94,5.08,16.01,18.54,18.99,5.10,16.06,18.65,18.71,5.08,16.23,18.50
2014,3,18.73,5.03,15.96,18.37,18.93,5.09,16.04,18.59,18.78,5.08,16.19,18.53
2014,4,19.01,5.06,15.83,18.53,18.95,5.08,16.00,18.58,18.86,5.09,16.14,18.58
2014,5,19.37,5.15,15.85,18.85,19.15,5.11,15.93,18.70,18.96,5.10,16.08,18.64
2014,6,19.79,5.20,15.73,19.10,19.26,5.12,15.84,18.74,19.03,5.11,16.05,18.69
2014,7,19.72,5.23,15.85,19.13,19.36,5.14,15.84,18.83,19.10,5.13,16.03,18.73
2014,8,19.43,5.23,16.02,19.04,19.40,5.19,15.94,18.94,19.19,5.14,16.00,18.80
2014,9,19.59,5.23,15.92,19.08,19.69,5.21,15.82,19.09,19.31,5.15,15.93,18.84
2014,10,20.04,5.24,15.61,19.23,19.88,5.23,15.73,19.18,19.42,5.16,15.87,18.88
2014,11,20.45,5.22,15.31,19.31,19.94,5.22,15.67,19.17,19.55,5.17,15.80,18.93
2014,12,20.56,5.23,15.27,19.35,20.07,5.23,15.59,19.21,19.67,5.17,15.72,18.98
2015,1,20.03,5.18,15.46,19.06,20.04,5.21,15.54,19.14,19.70,5.17,15.69,18.99
2015,2,19.97,5.15,15.40,18.97,20.21,5.18,15.35,19.14,19.80,5.18,15.64,19.04
2015,3,19.95,5.13,15.31,18.90,20.26,5.18,15.29,19.13,19.97,5.20,15.56,19.11
2015,4,20.59,5.19,15.05,19.23,20.31,5.18,15.26,19.14,20.10,5.21,15.49,19.16
2015,5,20.95,5.27,15.06,19.51,20.46,5.21,15.23,19.24,20.20,5.22,15.45,19.21
2015,6,21.20,5.32,15.02,19.69,20.58,5.22,15.17,19.30,20.33,5.23,15.38,19.25
2015,7,21.09,5.35,15.17,19.71,20.84,5.27,15.11,19.47,20.44,5.24,15.32,19.31
2015,8,20.75,5.36,15.35,19.63,20.85,5.32,15.20,19.57,20.53,5.25,15.28,19.35
2015,9,20.64,5.39,15.49,19.68,20.92,5.35,15.26,19.68,20.59,5.27,15.27,19.40
2015,10,21.15,5.42,15.24,19.90,21.12,5.38,15.20,19.81,20.72,5.28,15.23,19.47
2015,11,21.47,5.42,15.10,20.03,21.11,5.39,15.22,19.83,20.78,5.30,15.22,19.53
2015,12,21.55,5.41,15.03,20.01,21.09,5.40,15.26,19.84,20.84,5.31,15.21,19.57
2016,1,20.95,5.37,15.31,19.75,21.05,5.40,15.27,19.82,20.95,5.33,15.19,19.65
2016,2,20.60,5.32,15.35,19.52,21.04,5.37,15.22,19.77,20.94,5.34,15.21,19.67
2016,3,20.37,5.30,15.36,19.40,20.96,5.35,15.20,19.70,20.94,5.35,15.23,19.69
2016,4,20.76,5.30,15.13,19.54,20.85,5.34,15.22,19.64,20.99,5.36,15.21,19.72
2016,5,21.34,5.38,14.99,19.88,20.97,5.35,15.17,19.70,21.04,5.37,15.19,19.76
2016,6,21.84,5.42,14.83,20.12,21.10,5.36,15.10,19.76,21.10,5.38,15.18,19.80
