year,month,borough,number_of_violations,violations_percent_change
2012,1,Bronx,314.0,
2012,2,Bronx,360.0,14.65
2012,3,Bronx,355.0,-1.39
2012,4,Bronx,223.0,-37.18
2012,5,Bronx,254.0,13.9
2012,6,Bronx,251.0,-1.18
2012,7,Bronx,419.0,66.93
2012,8,Bronx,325.0,-22.43
2012,9,Bronx,689.0,112.0
2012,10,Bronx,267.0,-61.25
2012,12,Bronx,323.0,20.97
2013,1,Bronx,263.0,-18.58
2013,2,Bronx,320.0,21.67
2013,3,Bronx,422.0,31.88
2013,4,Bronx,545.0,29.15
2013,5,Bronx,301.0,-44.77
2013,6,Bronx,443.0,47.18
2013,7,Bronx,531.0,19.86
2013,8,Bronx,263.0,-50.47
2013,9,Bronx,615.0,133.84
2013,10,Bronx,627.0,1.95
2013,11,Bronx,354.0,-43.54
2013,12,Bronx,323.0,-8.76
2014,1,Bronx,634.0,96.28
2014,2,Bronx,513.0,-19.09
2014,3,Bronx,668.0,30.21
2014,4,Bronx,563.0,-15.72
2014,5,Bronx,1214.0,115.63
2014,6,Bronx,598.0,-50.74
2014,7,Bronx,649.0,8.53
2014,8,Bronx,717.0,10.48
2014,9,Bronx,517.0,-27.89
2014,10,Bronx,594.0,14.89
2014,11,Bronx,1182.0,98.99
2014,12,Bronx,421.0,-64.38
2015,1,Bronx,641.0,52.26
2015,2,Bronx,540.0,-15.76
2015,3,Bronx,732.0,35.56
2015,4,Bronx,817.0,11.61
2015,5,Bronx,730.0,-10.65
2015,6,Bronx,783.0,7.26
2015,7,Bronx,726.0,-7.28
2015,8,Bronx,722.0,-0.55
2015,9,Bronx,565.0,-21.75
2015,10,Bronx,596.0,5.49
2015,11,Bronx,1455.0,144.13
2015,12,Bronx,445.0,-69.42
2016,1,Bronx,837.0,88.09
2016,2,Bronx,637.0,-23.89
2016,3,Bronx,900.0,41.29
2016,4,Bronx,912.0,1.33
2016,5,Bronx,976.0,7.02
2016,6,Bronx,788.0,-19.26
2016,7,Bronx,603.0,-23.48
2016,8,Bronx,840.0,39.3
2016,9,Bronx,684.0,-18.57
2016,10,Bronx,1299.0,89.91
2012,1,Brooklyn,214.0,
2012,2,Brooklyn,206.0,-3.74
2012,3,Brooklyn,401.0,94.66
2012,4,Brooklyn,242.0,-39.65
2012,5,Brooklyn,232.0,-4.13
2012,6,Brooklyn,363.0,56.47
2012,7,Brooklyn,231.0,-36.36
2012,8,Brooklyn,186.0,-19.48
2012,9,Brooklyn,201.0,8.06
2012,10,Brooklyn,265.0,31.84
2012,12,Brooklyn,157.0,-40.75
2013,1,Brooklyn,387.0,146.5
2013,2,Brooklyn,252.0,-34.88
2013,3,Brooklyn,419.0,66.27
2013,4,Brooklyn,608.0,45.11
2013,5,Brooklyn,554.0,-8.88
2013,6,Brooklyn,492.0,-11.19
2013,7,Brooklyn,566.0,15.04
2013,8,Brooklyn,494.0,-12.72
2013,9,Brooklyn,466.0,-5.67
2013,10,Brooklyn,641.0,37.55
2013,11,Brooklyn,411.0,-35.88
2013,12,Brooklyn,304.0,-26.03
2014,1,Brooklyn,666.0,119.08
2014,2,Brooklyn,492.0,-26.13
2014,3,Brooklyn,815.0,65.65
2014,4,Brooklyn,872.0,6.99
2014,5,Brooklyn,1386.0,58.94
2014,6,Brooklyn,830.0,-40.12
2014,7,Brooklyn,990.0,19.28
2014,8,Brooklyn,795.0,-19.7
2014,9,Brooklyn,870.0,9.43
2014,10,Brooklyn,1098.0,26.21
2014,11,Brooklyn,1229.0,11.93
2014,12,Brooklyn,586.0,-52.32
2015,1,Brooklyn,698.0,19.11
2015,2,Brooklyn,673.0,-3.58
2015,3,Brooklyn,953.0,41.6
2015,4,Brooklyn,836.0,-12.28
2015,5,Brooklyn,884.0,5.74
2015,6,Brooklyn,879.0,-0.57
2015,7,Brooklyn,822.0,-6.48
2015,8,Brooklyn,1079.0,31.27
2015,9,Brooklyn,900.0,-16.59
2015,10,Brooklyn,1212.0,34.67
2015,11,Brooklyn,2309.0,90.51
2015,12,Brooklyn,615.0,-73.37
2016,1,Brooklyn,863.0,40.33
2016,2,Brooklyn,1138.0,31.87
2016,3,Brooklyn,1304.0,14.59
2016,4,Brooklyn,989.0,-24.16
2016,5,Brooklyn,1118.0,13.04
2016,6,Brooklyn,1085.0,-2.95
2016,7,Brooklyn,832.0,-23.32
2016,8,Brooklyn,1315.0,58.05
2016,9,Brooklyn,987.0,-24.94
2016,10,Brooklyn,2010.0,103.65
2012,1,Manhattan,168.0,
2012,2,Manhattan,311.0,85.12
2012,3,Manhattan,202.0,-35.05
2012,4,Manhattan,146.0,-27.72
2012,5,Manhattan,173.0,18.49
2012,6,Manhattan,138.0,-20.23
2012,7,Manhattan,93.0,-32.61
2012,8,Manhattan,103.0,10.75
2012,9,Manhattan,154.0,49.51
2012,10,Manhattan,147.0,-4.55
2012,12,Manhattan,156.0,6.12
2013,1,Manhattan,161.0,3.21
2013,2,Manhattan,299.0,85.71
2013,3,Manhattan,301.0,0.67
2013,4,Manhattan,330.0,9.63
2013,5,Manhattan,376.0,13.94
2013,6,Manhattan,244.0,-35.11
2013,7,Manhattan,174.0,-28.69
2013,8,Manhattan,141.0,-18.97
2013,9,Manhattan,277.0,96.45
2013,10,Manhattan,388.0,40.07
2013,11,Manhattan,156.0,-59.79
2013,12,Manhattan,173.0,10.9
2014,1,Manhattan,202.0,16.76
2014,2,Manhattan,300.0,48.51
2014,3,Manhattan,442.0,47.33
2014,4,Manhattan,267.0,-39.59
2014,5,Manhattan,898.0,236.33
2014,6,Manhattan,343.0,-61.8
2014,7,Manhattan,409.0,19.24
2014,8,Manhattan,676.0,65.28
2014,9,Manhattan,352.0,-47.93
2014,10,Manhattan,518.0,47.16
2014,11,Manhattan,997.0,92.47
2014,12,Manhattan,313.0,-68.61
2015,1,Manhattan,453.0,44.73
2015,2,Manhattan,492.0,8.61
2015,3,Manhattan,441.0,-10.37
2015,4,Manhattan,735.0,66.67
2015,5,Manhattan,591.0,-19.59
2015,6,Manhattan,595.0,0.68
2015,7,Manhattan,577.0,-3.03
2015,8,Manhattan,647.0,12.13
2015,9,Manhattan,583.0,-9.89
2015,10,Manhattan,615.0,5.49
2015,11,Manhattan,1523.0,147.64
2015,12,Manhattan,365.0,-76.03
2016,1,Manhattan,419.0,14.79
2016,2,Manhattan,433.0,3.34
2016,3,Manhattan,465.0,7.39
2016,4,Manhattan,457.0,-1.72
2016,5,Manhattan,602.0,31.73
2016,6,Manhattan,620.0,2.99
2016,7,Manhattan,504.0,-18.71
2016,8,Manhattan,687.0,36.31
2016,9,Manhattan,646.0,-5.97
2016,10,Manhattan,1618.0,150.46
2012,1,NYC,1740.0,
2012,2,NYC,1886.0,8.39
2012,3,NYC,1803.0,-4.4
2012,4,NYC,1481.0,-17.86
2012,5,NYC,1521.0,2.7
2012,6,NYC,1643.0,8.02
2012,7,NYC,1696.0,3.23
2012,8,NYC,1409.0,-16.92
2012,9,NYC,2002.0,42.09
2012,10,NYC,1715.0,-14.34
2012,12,NYC,1481.0,-13.64
2013,1,NYC,1722.0,16.27
2013,2,NYC,1831.0,6.33
2013,3,NYC,2017.0,10.16
2013,4,NYC,2786.0,38.13
2013,5,NYC,1923.0,-30.98
2013,6,NYC,2029.0,5.51
2013,7,NYC,2138.0,5.37
2013,8,NYC,1469.0,-31.29
2013,9,NYC,1981.0,34.85
2013,10,NYC,2933.0,48.06
2013,11,NYC,1704.0,-41.9
2013,12,NYC,1713.0,0.53
2014,1,NYC,2712.0,58.32
2014,2,NYC,2323.0,-14.34
2014,3,NYC,3446.0,48.34
2014,4,NYC,2896.0,-15.96
2014,5,NYC,5616.0,93.92
2014,6,NYC,3586.0,-36.15
2014,7,NYC,3492.0,-2.62
2014,8,NYC,3601.0,3.12
2014,9,NYC,3103.0,-13.83
2014,10,NYC,3695.0,19.08
2014,11,NYC,5997.0,62.3
2014,12,NYC,2124.0,-64.58
