year,month,borough,number_of_violations,3mo_violations,6mo_violations,12mo_violations
2012,1,Bronx,314.0,314.0,314.0,314.0
2012,2,Bronx,360.0,337.0,337.0,337.0
2012,3,Bronx,355.0,343.0,343.0,343.0
2012,4,Bronx,223.0,312.67,313.0,313.0
2012,5,Bronx,254.0,277.33,301.2,301.2
2012,6,Bronx,251.0,242.67,292.83,292.83
2012,7,Bronx,419.0,308.0,310.33,310.86
2012,8,Bronx,325.0,331.67,304.5,312.63
2012,9,Bronx,689.0,477.67,360.17,354.44
2012,10,Bronx,267.0,427.0,367.5,345.7
2012,12,Bronx,323.0,426.33,379.0,343.64
2013,1,Bronx,263.0,284.33,381.0,336.92
2013,2,Bronx,320.0,302.0,364.5,337.42
2013,3,Bronx,422.0,335.0,380.67,342.58
2013,4,Bronx,545.0,429.0,356.67,358.42
2013,5,Bronx,301.0,422.67,362.33,364.92
2013,6,Bronx,443.0,429.67,382.33,380.67
2013,7,Bronx,531.0,425.0,427.0,404.0
2013,8,Bronx,263.0,412.33,417.5,391.0
2013,9,Bronx,615.0,469.67,449.67,415.17
2013,10,Bronx,627.0,501.67,463.33,410.0
2013,11,Bronx,354.0,532.0,472.17,417.25
2013,12,Bronx,323.0,434.67,452.17,417.25
2014,1,Bronx,634.0,437.0,469.33,448.17
2014,2,Bronx,513.0,490.0,511.0,464.25
2014,3,Bronx,668.0,605.0,519.83,484.75
2014,4,Bronx,563.0,581.33,509.17,486.25
2014,5,Bronx,1214.0,815.0,652.5,562.33
2014,6,Bronx,598.0,791.67,698.33,575.25
2014,7,Bronx,649.0,820.33,700.83,585.08
2014,8,Bronx,717.0,654.67,734.83,622.92
2014,9,Bronx,517.0,627.67,709.67,614.75
2014,10,Bronx,594.0,609.33,714.83,612.0
2014,11,Bronx,1182.0,764.33,709.5,681.0
2014,12,Bronx,421.0,732.33,680.0,689.17
2015,1,Bronx,641.0,748.0,678.67,689.75
2015,2,Bronx,540.0,534.0,649.17,692.0
2015,3,Bronx,732.0,637.67,685.0,697.33
2015,4,Bronx,817.0,696.33,722.17,718.5
2015,5,Bronx,730.0,759.67,646.83,678.17
2015,6,Bronx,783.0,776.67,707.17,693.58
2015,7,Bronx,726.0,746.33,721.33,700.0
2015,8,Bronx,722.0,743.67,751.67,700.42
2015,9,Bronx,565.0,671.0,723.83,704.42
2015,10,Bronx,596.0,627.67,687.0,704.58
2015,11,Bronx,1455.0,872.0,807.83,727.33
2015,12,Bronx,445.0,832.0,751.5,729.33
